127.0.0.1 - - [28/May/2025:05:27:47 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [28/May/2025:05:27:48 +0900] "GET /HotelReservationSystem/menu.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [28/May/2025:05:27:48 +0900] "GET /HotelReservationSystem/images/hotel2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2025:05:27:48 +0900] "GET /HotelReservationSystem/images/hotel.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2025:05:27:48 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [28/May/2025:05:27:50 +0900] "GET /HotelReservationSystem/register.jsp HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [28/May/2025:05:27:54 +0900] "GET /HotelReservationSystem/menu.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [28/May/2025:05:28:08 +0900] "GET /HotelReservationSystem/register.jsp HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [28/May/2025:05:33:33 +0900] "GET /HotelReservationSystem/register.jsp HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [28/May/2025:05:33:36 +0900] "GET /HotelReservationSystem/menu.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [28/May/2025:05:33:38 +0900] "GET /HotelReservationSystem/register.jsp HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [28/May/2025:05:33:46 +0900] "GET /HotelReservationSystem/register.jsp HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [28/May/2025:05:34:14 +0900] "GET /HotelReservationSystem/register.jsp HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [28/May/2025:05:34:40 +0900] "GET /HotelReservationSystem/register.jsp HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [28/May/2025:05:34:42 +0900] "GET /HotelReservationSystem/menu.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [28/May/2025:05:34:43 +0900] "GET /HotelReservationSystem/deleteAccount.jsp HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [28/May/2025:05:34:46 +0900] "GET /HotelReservationSystem/register.jsp HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [28/May/2025:05:34:51 +0900] "POST /HotelReservationSystem/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2025:05:34:51 +0900] "GET /HotelReservationSystem/registerSuccess.jsp HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [28/May/2025:05:34:53 +0900] "GET /HotelReservationSystem/menu.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [28/May/2025:05:35:35 +0900] "GET /HotelReservationSystem/menu.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [28/May/2025:05:35:36 +0900] "GET /HotelReservationSystem/deleteAccount.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [28/May/2025:05:35:42 +0900] "GET /HotelReservationSystem/register.jsp HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [28/May/2025:05:35:46 +0900] "POST /HotelReservationSystem/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2025:05:35:46 +0900] "GET /HotelReservationSystem/registerSuccess.jsp HTTP/1.1" 200 1371
0:0:0:0:0:0:0:1 - - [28/May/2025:05:35:47 +0900] "GET /HotelReservationSystem/menu.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [28/May/2025:05:35:49 +0900] "GET /HotelReservationSystem/deleteAccount.jsp HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [28/May/2025:05:36:42 +0900] "GET /HotelReservationSystem/deleteAccount.jsp HTTP/1.1" 200 2199
0:0:0:0:0:0:0:1 - - [28/May/2025:05:36:47 +0900] "POST /HotelReservationSystem/deleteAccount.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/May/2025:05:36:47 +0900] "GET /HotelReservationSystem/menu.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [28/May/2025:05:36:48 +0900] "GET /HotelReservationSystem/deleteAccount.jsp HTTP/1.1" 200 2199
0:0:0:0:0:0:0:1 - - [28/May/2025:05:36:50 +0900] "GET /HotelReservationSystem/menu.jsp HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [28/May/2025:05:36:51 +0900] "GET /HotelReservationSystem/register.jsp HTTP/1.1" 200 2319
